company;E1-1;E1-2;E1-3;E1-4;E1-5;E1-6;E1-7;E1-8;E1-9;E2-1;E2-2;E2-3;E2-4;E2-5;E3-1;E3-2;E3-3;E3-4;E3-5;E4-1;E4-2;E4-3;E4-4;E4-5;E4-6;E5-1;E5-2;E5-3;E5-4;E5-5;E5-6;S1-1;S1-2;S1-3;S1-4;S1-5;S1-6;S1-7;S1-8;S1-9;S1-10;S1-11;S1-12;S1-13;S1-14;S1-15;S1-16;S1-17;S2-1;S2-2;S2-3;S2-4;S2-5;S3-1;S3-2;S3-3;S3-4;S3-5;S4-1;S4-2;S4-3;S4-4;S4-5;G1-1;G1-2;G1-3;G1-4;G1-5;G1-6;total_assets;total_debt;current_assets;current_liabilities;net_income;revenue;shares_out;close_price;mkt_cap;ln_assets;roa;leverage;current_ratio;ln_mcap;industry;sector;country
akzo;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14249000000.0;5368000000.0;5836000000.0;4730000000.0;542000000.0;10711000000.0;170900000;5.595.821.380.615.230;9.563.258.739.471.430;23.379.952.565.760.000;0.0380377570355814;0.3767281914520317;12.338.266.384.778.000;22.981.194.378.255.500;Specialty Chemicals;Materials;Netherlands
ageas;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;98455000000.0;4749000000.0;;4730053400.1;1118000000.0;8479000000.0;191284000;457.083.854.675.293;8.743.282.805.770.870;25.312.865.427.943.500;0.0113554415722919;0.0482352343710324;1.554.545.363.546.540;22.891.551.563.158.700;Insurance - Diversified;Financials;Belgium
asr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;138595000000.0;10692000000.0;;;882000000.0;20635000000.0;208902000;4.411.370.468.139.640;9.215.441.135.353.080;2.565.482.184.801.540;0.0063638659403297;0.0771456401746094;189.599.549.543.954.000;22.944.146.298.366.000;Insurance - Diversified;Financials;Netherlands
atea;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;21109000000.0;2199000000.0;13648000000.0;14581000000.0;775000000.0;34583000000.0;111431000;13.834.803.771.972.600;1.541.626.019.114.680;23.772.965.326.770.300;0.036714197735563;0.104173575252262;0.936012619161923;23.458.688.645.909.400;Information Technology Services;Information Technology;Norway
acea;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;12226070000.0;5534700000.0;2495569000.0;3368589000.0;331620000.0;4075988000.0;212548000;18.450.000.762.939.400;3.921.510.762.161.250;2.322.683.639.403.950;0.0271240063241908;0.4526965737968129;0.7408351092994723;2.208.974.281.501.230;Utilities - Diversified;Utilities;Italy
upm-annual-report-2024;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;19096000000.0;3814000000.0;5035000000.0;2394000000.0;436000000.0;10339000000.0;527324000;26.079.185.485.839.800;1.375.218.040.713.500;2.367.274.472.598.290;0.0228320067029744;0.1997276916631755;2.103.174.603.174.600;2.334.446.322.355.160;Paper & Paper Products;Materials;Finland
amadeus fire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;330116000.0;71166000.0;58735000.0;98791000.0;32633000.0;436906000.0;5432160;7.394.114.685.058.590;4.016.601.402.758.780;1.961.495.466.580.930;0.0988531304147632;0.2155787662518629;0.5945379639845735;1.981.111.686.681.300;Staffing & Employment Services;Industrials;Germany
vpbli_gb2024_en;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;10635597000.0;204478000.0;;;18471000.0;330940000.0;5639540;7.471.058.654.785.150;4.213.333.412.600.700;2.308.747.241.942.500;0.0017367149206574;0.0192258130878783;0.934534534534534;19.858.934.862.816.400;Banks - Diversified;Financials;Liechtenstein
aker;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;108402000000.0;38116000000.0;22264000000.0;10057000000.0;7197000000.0;12217000000.0;74288400;5.562.949.829.101.560;4.132.626.420.842.280;25.409.112.375.966.200;0.0663917639895942;0.3516171288352613;22.137.814.457.591.700;2.444.476.407.204.090;Conglomerates;Industrials;Norway
baco sabadell;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;239597927000.0;32699076000.0;;;1826805000.0;6543842000.0;5225110016;18.544.707.298.278.800;968.981.358.480.249;2.620.222.805.123.040;0.0076244607909316;0.1364747867789357;1.453.465.456.435.420;2.299.434.102.476.950;Banks - Diversified;Financials;Spain
alfen;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;362750000.0;49749000.0;251461000.0;150094000.0;-27014000.0;487643000.0;21738800;13.479.999.542.236.300;2.930.390.140.487.670;1.970.922.444.972.850;-0.0744700206753962;0.137144038594073;167.535.677.642.011;19.495.816.311.867.200;Electrical Equipment & Parts;Industrials;Netherlands
aeroports;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;20179000000.0;10142000000.0;3787000000.0;4002000000.0;342000000.0;6158000000.0;98751696;1.086.483.383.178.710;10.729.207.676.471.500;2.372.790.829.663.010;0.0169483126022102;0.5026017146538481;0.9462768615692154;2.309.623.554.896.800;Airports & Air Services;Industrials;France
amadeus it group;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;11784300000.0;3375700000.0;2593900000.0;3036000000.0;1253000000.0;6141700000.0;436348000;6.767.285.919.189.450;29.528.916.762.664.700;2.319.003.397.403.110;0.1063279108644552;0.2864574051916533;0.8543807641633728;24.108.635.849.424.000;Information Technology Services;Information Technology;Spain
