company,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap
amplifon,3992762000.0,1721518000.0,725228000.0,1170308000.0,145374000.0,2409241000.0,223880992,25.33114242553711,5671161294.722534,22.10774905894355,0.03640938277813704,0.4311596834471977,0.6196898594216224,22.458659747598617
air liquide,51867500000.0,12448100000.0,8347400000.0,9484100000.0,3306100000.0,27057800000.0,576670016,155.38319396972656,89604828952.65332,24.67195822673157,0.0637412637971755,0.23999807201041115,0.880146771965711,25.2186750500359
aroundtown,33619900000.0,14703500000.0,5599700000.0,2948300000.0,256300000.0,1180900000.0,1093670016,2.747999906539917,3005405101.7535095,24.23838399050247,0.007623461104881335,0.43734514379876205,1.8992979004850252,21.82367820508341
bank pekao,334242000000.0,25038000000.0,,,6376000000.0,16164000000.0,262470000,126.75753021240234,33270048954.849243,26.535131118461035,0.01907599882719706,0.07490979589638645,,24.22792339841693
cez group,901974000000.0,246149000000.0,238837000000.0,186992000000.0,29933000000.0,340096000000.0,536809984,987.0,529831454208.0,27.52785153175989,0.03318610070800267,0.27290032750389703,1.2772578506032344,26.99582478198808
austrian post,6491900000.0,745300000.0,3596000000.0,4836500000.0,137900000.0,3123100000.0,67552600,27.09552001953125,1830372825.6713867,22.59382108290649,0.021241855234985136,0.11480460265869777,0.7435128708777008,21.327785512924702
wacker,9409900000.0,1925200000.0,4055300000.0,1522800000.0,241000000.0,5721800000.0,51762600,68.9181137084961,3567380752.6474,22.965028163494672,0.025611324243615768,0.2045930349950584,2.663054898870502,21.995097480729246
axa,653762000000.0,62140000000.0,,,7886000000.0,89823000000.0,2175830016,32.70023727416992,71150157791.46094,27.206009207797617,0.012062493690364384,0.09504988053756566,,24.988058379209413
wartsila,7694000000.0,766000000.0,5110000000.0,4121000000.0,503000000.0,6449000000.0,588436992,17.156570434570312,10095560699.554688,22.763706641276514,0.06537561736417988,0.0995580972186119,1.2399902936180538,23.03536162947238
vinci-2024-universal-registration-document,129491000000.0,36261000000.0,46931000000.0,55033000000.0,4863000000.0,72768000000.0,561120000,96.87017822265625,54355794404.296875,25.5868772176014,0.03755473353360465,0.2800271833563723,0.8527792415459815,24.718817057605442
vestas annual report 2024,24644000000.0,3271000000.0,16089000000.0,15480000000.0,499000000.0,17295000000.0,1007600000,103.90201568603516,104691671005.24902,23.927799300098734,0.02024833630904074,0.13273007628631717,1.0393410852713179,25.374285400610308
air france,36155000000.0,14527000000.0,10585000000.0,16271000000.0,317000000.0,31459000000.0,262658000,7.671999931335449,2015112157.9647064,24.311081088573328,0.008767805282810123,0.4017978149633522,0.6505439124823306,21.423940692316958
accor_urd,12057000000.0,3739000000.0,2971000000.0,2818000000.0,610000000.0,5606000000.0,239756000,45.3245849609375,10866841191.894531,23.212911241081585,0.05059301650493489,0.31011030936385503,1.054293825408091,23.108981897125783
banco commercial,102143602000.0,6183546000.0,,,906378000.0,3726865000.0,14952599552,0.4722000062465668,7060617601.856812,25.349645522866208,0.008873566060456728,0.060537771127358524,,22.67779836364204
orsted annual report 2024,298786000000.0,96618000000.0,79639000000.0,53752000000.0,-206000000.0,58833000000.0,420235008,341.6000061035156,143552281297.71094,26.422993435024388,-0.000689456667983105,0.3233685647921924,1.4816006846256884,25.689965135394946
atria,984794000.0,281691000.0,259591000.0,245461000.0,39654000.0,1755368000.0,19000000,10.528433799743652,200040242.1951294,20.70794304020832,0.040266289193475996,0.2860405323346812,1.0575651529163492,19.114029115247746
alk,8246000000.0,1187000000.0,3294000000.0,1949000000.0,815000000.0,5537000000.0,201144000,155.0,31177320000.0,22.83299407123112,0.09883579917535774,0.14394858113024497,1.6900974858902,24.162956744348236
akso,36203000000.0,3345000000.0,17922000000.0,21192000000.0,2656000000.0,52410000000.0,481990016,30.11794662475586,14516549575.553223,24.31240782527254,0.07336408584923901,0.09239565781841284,0.8456964892412231,23.39855518556632
allegro,19517291000.0,6361902000.0,5252693000.0,2610444000.0,1034561000.0,10821231000.0,1053299968,27.704999923706055,29181675533.07959,23.694566627562715,0.053007407636643834,0.32596234795085033,2.0121837511166683,24.096806798991576
axfood,35432000000.0,15296000000.0,8805000000.0,13166000000.0,2192000000.0,84057000000.0,215744992,231.6264190673828,49972239928.68115,24.29088120356731,0.06186498080830887,0.431700158049221,0.6687680388880449,24.634733486766798
santander,1837081000000.0,327723000000.0,,,12574000000.0,63842000000.0,14866199552,4.47341251373291,66502643107.56738,28.23919901482036,0.0068445539418240135,0.17839333159506848,,24.920507529796826
addiko bank,6408900000.0,15200000.0,,,45400000.0,321300000.0,19287100,18.899999618530273,364526182.64255524,22.58095348628857,0.007083898953018458,0.002371701852111907,,19.714108938500033
alm brand,35435000000.0,2252000000.0,,,777000000.0,14136000000.0,1433830016,13.499979972839355,19356676500.455933,24.29096586920863,0.021927472837589952,0.06355298433751941,,23.686303235693263
amag,1750590000.0,,996928000.0,420293000.0,43199000.0,1448800000.0,35264000,23.038400650024414,812426160.5224609,21.283218710919094,0.02467682324244969,,2.371983354469382,20.515535588681416
vonovia-se_annual-report-2024,90236300000.0,43205300000.0,7909400000.0,7464800000.0,-896000000.0,5939100000.0,822852992,27.679283142089844,22775980949.88379,25.225697622082514,-0.009929485140680636,0.4788017682462601,1.059559532740328,23.84897235050995
argenx,6202522000.0,39053000.0,4883103000.0,669916000.0,833040000.0,2190231000.0,61059600,609.5999755859375,37221930669.28711,22.548221820480812,0.13430665784014953,0.006296309791404206,7.289127293571134,24.34016395863916
assa abloy,223605000000.0,73501000000.0,55747000000.0,50469000000.0,15639000000.0,150162000000.0,1053249984,323.4960021972656,340722159138.334,26.133146939336914,0.06994029650499765,0.3287091075780953,1.104579048524837,26.554333199528653
amg,2039589000.0,814623000.0,872636000.0,516084000.0,-33351000.0,1439856000.0,32269100,14.400077819824219,464677551.1756897,21.436014153916375,-0.01635182382332911,0.39940546845467395,1.6908797792607404,19.956854284680215
aib group,141266000000.0,11547000000.0,,,2354000000.0,4915000000.0,2136770048,5.053509712219238,10798188190.347168,25.673910474894193,0.016663599167527927,0.08173941358854926,,23.102644196850235
2024-wienerberger-annual-report,6418432000.0,,2195764000.0,1559077000.0,79756000.0,4512665000.0,109498000,25.823894500732422,2827664800.0411987,22.5824396880575,0.012426087866943204,,1.4083743137766769,21.762717048974434
aegon,327390000000.0,4995000000.0,,,688000000.0,19519000000.0,1583859968,5.872000217437744,9300426076.486938,26.514417957739518,0.0021014691957604082,0.015257032896545404,,22.953326050732176
bank of ireland,161813000000.0,12471000000.0,,,1531000000.0,4462000000.0,968070016,8.6065092086792,8331703507.35022,25.809707184449532,0.009461538936921013,0.07707044551426646,,22.84333377490044
annual report 2024_zalando se_en_250503_s,7983900000.0,1725500000.0,5451700000.0,3990100000.0,251100000.0,10572500000.0,259199008,32.220001220703125,8351392354.165039,22.800692850827033,0.03145079472438282,0.21612244642342715,1.366306608856921,22.845694110909907
arcadis,3904000000.0,1116000000.0,1918000000.0,1569000000.0,243000000.0,4995000000.0,89411296,58.00127029418945,5185968746.64978,22.085267505497256,0.0622438524590164,0.2858606557377049,1.2224346717654557,22.369222497559914
allianz group,1044578000000.0,23117000000.0,,,9931000000.0,119527000000.0,385551008,286.6353454589844,110512546370.13965,27.67463409203374,0.009507188548868539,0.02213046799760286,,25.428394893270053
