company,E1-1,E1-2,E1-3,E1-4,E1-5,E1-6,E1-7,E1-8,E1-9,E2-1,E2-2,E2-3,E2-4,E2-5,E3-1,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,E4-6,E5-1,E5-2,E5-3,E5-4,E5-5,E5-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,S1-12,S1-13,S1-14,S1-15,S1-16,S1-17,S2-1,S2-2,S2-3,S2-4,S2-5,S3-1,S3-2,S3-3,S3-4,S3-5,S4-1,S4-2,S4-3,S4-4,S4-5,G1-1,G1-2,G1-3,G1-4,G1-5,G1-6,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap,industry,country,sector
akzo,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14249000000.0,5368000000.0,5836000000.0,4730000000.0,542000000.0,10711000000.0,170900000,55.95821380615234,9563258739.471436,23.379952565760064,0.0380377570355814,0.3767281914520317,1.2338266384778012,22.981194378255594,Specialty Chemicals,Netherlands,Materials
ageas,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,98455000000.0,4749000000.0,,,1118000000.0,8479000000.0,191284000,45.7083854675293,8743282805.770874,25.312865427943542,0.0113554415722919,0.0482352343710324,1.463493546886327,22.891551563158785,Insurance - Diversified,Belgium,Financials
asr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,138595000000.0,10692000000.0,,,882000000.0,20635000000.0,208902000,44.11370468139648,9215441135.353088,25.65482184801542,0.0063638659403297,0.0771456401746094,1.463493546886327,22.944146298366032,Insurance - Diversified,Netherlands,Financials
atea,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,21109000000.0,2199000000.0,13648000000.0,14581000000.0,775000000.0,34583000000.0,111431000,138.34803771972656,15416260191.14685,23.772965326770343,0.036714197735563,0.104173575252262,0.936012619161923,23.458688645909483,Information Technology Services,Norway,Information Technology
acea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12226070000.0,5534700000.0,2495569000.0,3368589000.0,331620000.0,4075988000.0,212548000,18.450000762939453,3921510762.161255,23.22683639403958,0.0271240063241908,0.4526965737968129,0.7408351092994723,22.08974281501237,Utilities - Diversified,Italy,Utilities
upm-annual-report-2024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,19096000000.0,3814000000.0,5035000000.0,2394000000.0,436000000.0,10339000000.0,527324000,26.079185485839844,13752180407.13501,23.67274472598294,0.0228320067029744,0.1997276916631755,2.103174603174604,23.34446322355166,Paper & Paper Products,Finland,Materials
amadeus fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,330116000.0,71166000.0,58735000.0,98791000.0,32633000.0,436906000.0,5432160,73.94114685058594,401660140.2758789,19.61495466580934,0.0988531304147632,0.2155787662518629,0.5945379639845735,19.81111686681309,Staffing & Employment Services,Germany,Industrials
vpbli_gb2024_en,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,10635597000.0,204478000.0,,,18471000.0,330940000.0,5639540,74.71058654785156,421333341.2600708,23.08747241942505,0.0017367149206574,0.0192258130878783,1.463493546886327,19.858934862816422,Banks - Diversified,Liechtenstein,Financials
aker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,108402000000.0,38116000000.0,22264000000.0,10057000000.0,7197000000.0,12217000000.0,74288400,556.2949829101562,41326264208.42285,25.409112375966256,0.0663917639895942,0.3516171288352613,2.2137814457591727,24.44476407204094,Conglomerates,Norway,Industrials
baco sabadell,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,239597927000.0,32699076000.0,,,1826805000.0,6543842000.0,5225110016,1.8544707298278809,9689813584.80249,26.20222805123041,0.0076244607909316,0.1364747867789357,1.463493546886327,22.99434102476956,Banks - Diversified,Spain,Financials
